word1,word2,path_similarity,wu_palmer_similarity,ic_resnik
consists,tube,inf,0,7.280259771905348
shivering,observed,inf,0,11.88542995789344
shivering,high,8,0.16666666666666666,11.88542995789344
shivering,fever,2,0.8571428571428571,11.88542995789344
observed,high,inf,0,6.514791929765776
observed,fever,inf,0,6.514791929765776
luminescence,emitted,inf,0,12.578577138453385
luminescence,living,16,0.0,12.578577138453385
luminescence,organism,13,0.125,12.578577138453385
luminescence,physiological,inf,0,12.578577138453385
luminescence,processes,15,0.0,12.578577138453385
emitted,living,inf,0,10.093670488665383
emitted,organism,inf,0,10.093670488665383
emitted,physiological,inf,0,10.093670488665383
emitted,processes,inf,0,10.093670488665383
living,physiological,inf,0,7.515982105426417
organism,physiological,inf,0,6.594640857766194
organism,processes,10,0.0,6.594640857766194
physiological,processes,inf,0,9.634138159286945
move,herd,11,0.15384615384615385,7.9341862393120115
move,mob,12,0.14285714285714285,7.9341862393120115
move,follow,inf,0,7.9341862393120115
move,blindly,inf,0,7.9341862393120115
herd,mob,7,0.36363636363636365,11.88542995789344
herd,follow,inf,0,11.88542995789344
herd,blindly,inf,0,11.88542995789344
mob,follow,inf,0,11.479964849785274
mob,blindly,inf,0,11.479964849785274
follow,blindly,inf,0,7.833645010090134
price,quality,3,0.6666666666666666,6.400633024402784
price,high,7,0.36363636363636365,6.400633024402784
quality,high,4,0.5,7.347468521598798
product,high,9,0.0,6.908696215472864
decision,relating,inf,0,7.68822801023163
decision,providing,inf,0,7.68822801023163
decision,credit,9,0.16666666666666666,7.68822801023163
decision,facilities,11,0.0,7.68822801023163
relating,providing,inf,0,5.174906848441011
relating,facilities,inf,0,5.174906848441011
providing,credit,inf,0,6.063864447580855
credit,facilities,10,0.0,7.127538684887684
register,bank,12,0.0,7.5679418443571285
register,shows,13,0.13333333333333333,7.5679418443571285
register,position,12,0.0,7.5679418443571285
register,amount,10,0.16666666666666666,7.5679418443571285
register,required,inf,0,7.5679418443571285
register,paid,inf,0,7.5679418443571285
register,recovered,inf,0,7.5679418443571285
register,balance,11,0.15384615384615385,7.5679418443571285
register,remained,inf,0,7.5679418443571285
register,unpaid,inf,0,7.5679418443571285
register,borrower,13,0.0,7.5679418443571285
maintained,shows,inf,0,6.417369816758308
maintained,position,inf,0,6.417369816758308
maintained,amount,inf,0,6.417369816758308
maintained,required,inf,0,6.417369816758308
maintained,paid,inf,0,6.417369816758308
maintained,recovered,inf,0,6.417369816758308
maintained,remained,inf,0,6.417369816758308
maintained,unpaid,inf,0,6.417369816758308
maintained,borrower,inf,0,6.417369816758308
